Scheme_Code,Scheme_Name,ISIN_Div_Payout_or_Growth,ISIN_Div_Reinvestment,Net_Asset_Value,Date
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0452,01-Oct-2018
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.02,01-Jan-2019
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.03,01-Jul-2019
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0338,01-Oct-2019
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0338,01-Jan-2020
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0338,01-Jul-2020
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0338,01-Oct-2020
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0338,01-Jan-2021
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0338,01-Jul-2021
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0338,01-Oct-2021
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0338,01-Jul-2022
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0338,01-Jan-2024
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0338,01-Jul-2024
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0338,01-Jul-2024
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0338,01-Oct-2024
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0338,01-Jan-2025
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0338,01-Jul-2025
144753,Axis Ultra Short Duration Fund - Direct Plan - Daily IDCW,,INF846K01F57,10.0338,01-Oct-2025
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.0452,01-Oct-2018
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.0482,01-Jan-2019
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.0473,01-Jul-2019
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.054,01-Oct-2019
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.0478,01-Jan-2020
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.0561,01-Jul-2020
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.0376,01-Oct-2020
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.0427,01-Jan-2021
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.0322,01-Jul-2021
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.0239,01-Oct-2021
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.0332,01-Jul-2022
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.0485,01-Jan-2024
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.0416,01-Jul-2024
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.0416,01-Jul-2024
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.0445,01-Oct-2024
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.0403,01-Jan-2025
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.062,01-Jul-2025
144755,Axis Ultra Short Duration Fund - Direct Plan - Monthly IDCW,INF846K01F99,INF846K01F81,10.044,01-Oct-2025
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,10.0452,01-Oct-2018
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,10.2776,01-Jan-2019
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,10.7151,01-Jul-2019
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,10.9523,01-Oct-2019
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,11.1597,01-Jan-2020
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,11.5498,01-Jul-2020
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,11.7033,01-Oct-2020
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,11.8495,01-Jan-2021
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,12.0968,01-Jul-2021
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,12.2202,01-Oct-2021
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,12.5806,01-Jul-2022
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,13.9348,01-Jan-2024
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,14.4778,01-Jul-2024
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,14.4778,01-Jul-2024
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,14.7543,01-Oct-2024
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,15.0283,01-Jan-2025
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,15.6481,01-Jul-2025
144756,Axis Ultra Short Duration Fund - Direct Plan - Regular IDCW,INF846K01G15,INF846K01G07,15.9008,01-Oct-2025
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.0452,01-Oct-2018
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.0531,01-Jan-2019
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.05,01-Jul-2019
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.0556,01-Oct-2019
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.0547,01-Jan-2020
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.0553,01-Jul-2020
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.0552,01-Oct-2020
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.0557,01-Jan-2021
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.0541,01-Jul-2021
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.0534,01-Oct-2021
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.0587,01-Jul-2022
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.05,01-Jan-2024
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.05,01-Jul-2024
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.05,01-Jul-2024
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.0045,01-Oct-2024
144757,Axis Ultra Short Duration Fund - Direct Plan - Weekly IDCW,INF846K01F73,INF846K01F65,10.0585,01-Jan-2025
